train_fraction,node_train_mse,node_test_mse,ude_train_mse,ude_test_mse
0.5,1.3595244101821424e-7,0.00041837743853949817,2.194605028239963e-8,9.540133622448911e-8
0.7,2.065457951419887e-7,1.1067044769159597e-5,1.600590401138862e-8,3.723855048084875e-8
0.9,5.017024105981455e-7,4.656597422869823e-5,2.9177873205889232e-8,5.245326857930801e-8
