noise_level,node_mse,ude_mse,recovery_mse,node_final_error,ude_final_error
0.01,3.452208021069573e-7,9.804560265333037e-10,1.5439086715336904e-8,0.0019248831392153776,4.026999419512456e-5
0.02,5.67196143540765e-7,6.5659824012689555e-9,1.0339492474728227e-7,0.00025500620850021916,0.00010421266496937753
0.05,2.1514410337093515e-6,1.0145807412594093e-6,1.5976598565836982e-5,0.0015569644416670303,0.0012954272101613762
0.1,3.9627350450113775e-6,3.5749408299677354e-7,5.629462188278794e-6,0.006252144847911201,0.0007689609988317525
