radius,luminosity
0.0,0.0
0.01,2.9314017669625304e-6
0.02,2.343209294534865e-5
0.03,7.898573776237694e-5
0.04,0.00018688544572093916
0.05,0.0003641602964190086
0.06,0.000627491847363588
0.07,0.00099308129672686
0.08,0.0014766078801256403
0.09,0.002093138112513586
0.1,0.002857045944520072
0.11,0.003781854461691731
0.12,0.004880223055549133
0.13,0.0061638805577934235
0.14,0.007643534153610602
0.15,0.00932883427979562
0.16,0.011228172605099064
0.17,0.013348677038262893
0.18,0.015696211728020375
0.19,0.01827536955064911
0.2,0.021089299509342234
0.21,0.0241397184200017
0.22,0.02742688692525733
0.23,0.03094957652399092
0.24,0.03470506957133609
0.25,0.0386891592786784
0.26,0.04289614971365551
0.27,0.04731885580015677
0.28,0.05194873676163898
0.29,0.056776722894658474
0.3,0.06179062778557988
0.31,0.06697696307175614
0.32,0.07232149244341145
0.33,0.07780923164364109
0.34,0.08342444846841171
0.35,0.08915066276656072
0.36,0.09497064643979738
0.37,0.10086642344270144
0.38,0.10681926978272453
0.39,0.1128097135201893
0.4,0.11881753476828832
0.41,0.12482182746245557
0.42,0.13080397263969515
0.43,0.13674450324041426
0.44,0.14262336943641096
0.45,0.1484215464002384
0.46,0.15412103430520485
0.47,0.15970485832537382
0.48,0.1651570686355637
0.49,0.1704627404113485
0.5,0.17560797382905685
0.51,0.18057989406577252
0.52,0.1853666512993352
0.53,0.18995742070833874
0.54,0.19434221280792266
0.55,0.19851405632236466
0.56,0.2024686195016901
0.57,0.206202778611528
0.58,0.20971461449074014
0.59,0.21300341255142063
0.6,0.21606966277889625
0.61,0.2189150597317262
0.62,0.22154250254170232
0.63,0.22395609491384902
0.64,0.22616114512642319
0.65,0.22816416603091422
0.66,0.2299728750520441
0.67,0.23159619418776745
0.68,0.23304425000927115
0.69,0.23432837366097503
0.7,0.23546110085780977
0.71,0.23645211838643881
0.72,0.23731083555321505
0.73,0.23804978192749635
0.74,0.23868085506691672
0.75,0.2392153205173866
0.76,0.2396638118130926
0.77,0.24003633047649767
0.78,0.240342246018341
0.79,0.24059029593763806
0.8,0.24078858572168063
0.81,0.24094458884603673
0.82,0.24106514677455065
0.83,0.241156468959343
0.84,0.24122413284081065
0.85,0.2412730838476267
0.86,0.2413076353967406
0.87,0.241331468893378
0.88,0.2413477760630973
0.89,0.24135876658683703
0.9,0.24136567394523853
0.91,0.24136956819025235
0.92,0.24137136947121643
0.93,0.241371848034856
0.94,0.24137162422528363
0.95,0.24137116848399914
0.96,0.24137080134988978
0.97,0.24137069345922998
0.98,0.24137086554568163
0.99,0.2413711884402938
1.0,0.241371383071503
