radius,luminosity
0.0,0.0
0.01,2.931399214193357e-6
0.02,2.3433100040157552e-5
0.03,7.898497884898517e-5
0.04,0.00018688617546957635
0.05,0.0003641651023795772
0.06,0.0006274898770655653
0.07,0.0009930794021832028
0.08,0.0014766153211068088
0.09,0.002093155024423604
0.1,0.0028570460181532777
0.11,0.003781842119117335
0.12,0.004880221835596512
0.13,0.006163909102939814
0.14,0.007643596960958204
0.15,0.009328875138482047
0.16,0.011228161722551097
0.17,0.013348638893246693
0.18,0.015696194848533376
0.19,0.018275371534206875
0.2,0.021089318354389007
0.21,0.024139754348887814
0.22,0.02742693747756299
0.23,0.030949642968703315
0.24,0.03470515080009591
0.25,0.038689243331024324
0.26,0.042896212241471283
0.27,0.04731887809481
0.28,0.05194861825026557
0.29,0.05677540961248335
0.3,0.061787878608755134
0.31,0.06697336726017077
0.32,0.07231800619749106
0.33,0.07780680201621715
0.34,0.083423734016602
0.35,0.08915185995410531
0.36,0.09497343433919475
0.37,0.1008700320938805
0.38,0.10682268130550614
0.39,0.11281200360618782
0.4,0.11881835764559606
0.41,0.12482198794132897
0.42,0.13080317690491625
0.43,0.1367423963641456
0.44,0.14262045922711433
0.45,0.1484186701032749
0.46,0.15411897060310747
0.47,0.15970407952186919
0.48,0.16515762723549338
0.49,0.1704642802094024
0.5,0.17560985542438756
0.51,0.18058142436938854
0.52,0.18536740346760885
0.53,0.18995763020673478
0.54,0.19434342556913062
0.55,0.1985176396833627
0.56,0.2024746815654429
0.57,0.2062105321028151
0.58,0.20972274092973556
0.59,0.21301040389179207
0.6,0.21607412858589373
0.61,0.21891597855437864
0.62,0.22153940686103532
0.63,0.2239491721979263
0.64,0.22615124350039567
0.65,0.22815269357201368
0.66,0.22996157966488875
0.67,0.23158681964221617
0.68,0.23303805885075918
0.69,0.23432553279331902
0.7,0.23545992925281597
0.71,0.2364522474557541
0.72,0.23731366017509672
0.73,0.2380553803831611
0.74,0.2386885317231437
0.75,0.23922402772269752
0.76,0.2396724609178595
0.77,0.24004400124837955
0.78,0.24034830787500194
0.79,0.24059445466795187
0.8,0.240790868519658
0.81,0.24094528400813497
0.82,0.24106471231372265
0.83,0.24115542556572955
0.84,0.24122295512168349
0.85,0.24127210608617308
0.86,0.2413069812285999
0.87,0.2413310205761569
0.88,0.24134704753467084
0.89,0.24135732723296688
0.9,0.2413636261803277
0.91,0.24136728126321005
0.92,0.24136926569616068
0.93,0.2413702576195118
0.94,0.24137070375065892
0.95,0.24137087802333343
0.96,0.24137093424405462
0.97,0.24137094774753273
0.98,0.2413709498558701
0.99,0.24137094996313999
1.0,0.2413709499701279
