radius,luminosity
0.0,0.0
0.01,2.9248622295461057e-6
0.02,2.2412699920038606e-5
0.03,7.764794214007972e-5
0.04,0.00018363065894124104
0.05,0.00036218068266629565
0.06,0.0006348600134252611
0.07,0.0009834065984288866
0.08,0.0014489549605407974
0.09,0.0020709080569287007
0.1,0.0029042114625483974
0.11,0.003691818875682321
0.12,0.005183513211816846
0.13,0.0061654957294714815
0.14,0.0077231682311049744
0.15,0.009621394144754013
0.16,0.011210280418868313
0.17,0.013240956550563223
0.18,0.015216537372147267
0.19,0.018078919296067246
0.2,0.020946464793580657
0.21,0.02456983384461087
0.22,0.027662119365115586
0.23,0.03079789072538912
0.24,0.03502022295972572
0.25,0.03862524248147608
0.26,0.04310300078304866
0.27,0.047681260633178756
0.28,0.05232680434320733
0.29,0.057494247733385045
0.3,0.062078688401010135
0.31,0.0666771521144291
0.32,0.07301004593707906
0.33,0.07758475946729809
0.34,0.08545840185993746
0.35,0.08842292764267456
0.36,0.09554501210671124
0.37,0.10203045644863447
0.38,0.10677772252831838
0.39,0.11039723986305956
0.4,0.12177507087484343
0.41,0.12419451915667269
0.42,0.1299006529917158
0.43,0.13478913832973832
0.44,0.1412781527590702
0.45,0.14649397894606145
0.46,0.15445338827877017
0.47,0.16169138581552242
0.48,0.16040205388709877
0.49,0.1683875613096767
0.5,0.17909196602761648
0.51,0.18158191028613094
0.52,0.18491291459926124
0.53,0.18880988372385532
0.54,0.200952534487644
0.55,0.2048330987914285
0.56,0.19967803870934608
0.57,0.20955453316415368
0.58,0.21596577737495243
0.59,0.20582567607103633
0.6,0.2114071043598486
0.61,0.21804643640935678
0.62,0.2232007034343613
0.63,0.22484908566089135
0.64,0.22374350260297596
0.65,0.2275734421210758
0.66,0.2295432100770891
0.67,0.22808049816851408
0.68,0.23099164360931476
0.69,0.2338512551304034
0.7,0.23212539471294782
0.71,0.24006659709070674
0.72,0.2350905301962822
0.73,0.236382157029002
0.74,0.24378533209217448
0.75,0.24174000328633044
0.76,0.24113329851791016
0.77,0.23484848714484086
0.78,0.23802600942659008
0.79,0.2317368948223864
0.8,0.2370688279565849
0.81,0.23866168094026233
0.82,0.23716538524258687
0.83,0.2437260218150343
0.84,0.24912927939163942
0.85,0.24599353508756827
0.86,0.24540225693091589
0.87,0.24169413949344623
0.88,0.24470065669447982
0.89,0.23709794772263615
0.9,0.23823741642603866
0.91,0.24016330224854382
0.92,0.2364242570224429
0.93,0.23771948871897738
0.94,0.24542089245840007
0.95,0.23381219193470187
0.96,0.2388509024642612
0.97,0.24545721097319428
0.98,0.2467220821656152
0.99,0.2436722482355555
1.0,0.24815557334374816
